set,family,topic,grade,correct_grade,expected,best_distance,best_distance_clean,kept_passages,ocr_passages,ocr_share,layer1_accept,layer2_in_syllabus,layer2_reason,correct
in_syllabus,positive,Characteristics of Organisms,6,6,accept,0.8163329362869263,0.8279225826263428,8,0,0.0,True,,,True
in_syllabus,positive,Differences between Plants and Animals,6,6,accept,0.6998487114906311,0.6998487114906311,11,0,0.0,True,,,True
in_syllabus,positive,States of Matter,6,6,accept,1.014427661895752,1.014427661895752,1,0,0.0,True,,,True
in_syllabus,positive,Specific Properties of Solid Matter,6,6,accept,0.7295304536819458,0.7295304536819458,6,0,0.0,True,,,True
in_syllabus,positive,Types of Water based on Salinity,6,6,accept,0.8305330872535706,0.8305330872535706,4,0,0.0,True,,,True
in_syllabus,positive,Sources of Light,6,6,accept,0.8271028399467468,0.8271028399467468,7,0,0.0,True,,,True
in_syllabus,positive,Applications of Light,6,6,accept,0.857699990272522,0.857699990272522,9,0,0.0,True,,,True
in_syllabus,positive,Magnetic Poles,6,6,accept,0.7821657657623291,0.7821657657623291,5,0,0.0,True,,,True
in_syllabus,positive,Generating Electricity,6,6,accept,0.7091400027275085,0.7091400027275085,14,0,0.0,True,,,True
in_syllabus,positive,Weather,6,6,accept,1.054917812347412,1.1712571382522583,2,0,0.0,True,,,True
in_syllabus,positive,Morphological features of flowering plants,7,7,accept,0.7174317240715027,0.7174317240715027,13,0,0.0,True,,,True
in_syllabus,positive,Vertebrates and invertebrates,7,7,accept,0.6271085143089294,0.6271085143089294,6,0,0.0,True,,,True
in_syllabus,positive,Systems of the human body,7,7,accept,0.7992697954177856,0.7992697954177856,6,0,0.0,True,,,True
in_syllabus,positive,Identification of acids and bases,7,7,accept,0.7096430659294128,0.7096430659294128,7,0,0.0,True,,,True
in_syllabus,positive,Water as a solvent,7,7,accept,0.662111759185791,0.662111759185791,5,0,0.0,True,,,True
in_syllabus,positive,Capacitors,7,7,accept,0.9862483739852905,0.9862483739852905,2,0,0.0,True,,,True
in_syllabus,positive,Kinetic energy,7,7,accept,0.9254465103149414,0.9254465103149414,4,0,0.0,True,,,True
in_syllabus,positive,Images formed by plane mirrors,7,7,accept,0.4913250207901001,0.4913250207901001,15,0,0.0,True,,,True
in_syllabus,positive,Layers of atmosphere,7,7,accept,0.6450343132019043,0.6450343132019043,11,0,0.0,True,,,True
in_syllabus,positive,Rock weathering,7,7,accept,0.6885037422180176,0.6885037422180176,7,0,0.0,True,,,True
in_syllabus,positive,Microorganisms,8,8,accept,0.7903850674629211,0.7903850674629211,11,0,0.0,True,,,True
in_syllabus,positive,Main vertebrate groups,8,8,accept,0.8204317092895508,0.8582895994186401,8,0,0.0,True,,,True
in_syllabus,positive,Photosynthesis,8,8,accept,0.6766018867492676,0.6766018867492676,13,0,0.0,True,,,True
in_syllabus,positive,Combustion,8,8,accept,0.9332483410835266,0.9332483410835266,9,0,0.0,True,,,True
